Latitude,Longitude,Temp(F),Wind_Speed(mph)
41.73749924,-70.62490082,278.89,4.1
36.9594,-76.0128,280.78,2.6
37.14,-76.1383,282.97,4.02
37.01108,-76.24903,281.99,2.1
36.96295,-76.33388000000001,281.58,2.1
36.95602,-76.41448000000001,281.64,2.1
36.96233,-76.42416999999999,281.68,2.1
37.67442,-76.15472,279.74,0.45
38.40283,-76.38417,280.05,2.6
38.982,-76.385,281.03,2.6
39.13997,-76.33072,281.15,2.6
39.53053,-75.82762,280.24,0.89
27.839809999999996,-97.05314,286.66,4.1
27.8177,-97.2093,286.49,2.1
48.86275,-122.76098,280.28,1.5
39.94620132,-75.13960266,281.44,4.6
38.940129999999996,-75.10486,281.82,3.6
29.34222,-94.74083,285.83,7.2
29.70350075,-95.01889801,285.02,5.1
29.30937958,-94.82063293,285.72,7.2
40.7775,-124.19661,283.86,2.85
30.38433,-81.44216999999999,289.04,2.1
30.390970000000003,-81.49678,289.01,1.5
30.385990000000003,-81.55705999999999,288.79,1.5
30.398529999999997,-81.62594,289.06,2.1
30.32266,-81.66462,289.21,2.1
30.7103,-81.3731,288.29,2.6
30.71050072,-81.45929718,288.16,2.6
30.72480011,-81.48449707,288.16,2.6
30.77499962,-81.48899841,288.16,2.6
29.764120000000002,-93.3429,282.63,2.6
30.21780014,-93.24949646,282.82,4.6
28.4477005,-96.35620117,285.89,4.6
28.42667007,-96.33000183,285.88,4.6
40.60599899,-74.0381012,281.35,4.6
40.64360046,-74.13890076,281.24,4.1
40.64709854,-74.15550232,281.2,4.1
41.58369827,-71.39700317,279.28,7.2
41.39175,-72.0923,281.02,7.7
38.03463,-122.12525,288.17,1.07
37.91625,-122.42233,288.35,1.79
37.8082,-122.34433999999999,288.38,2.1
37.80097,-122.34775,288.2,2.1
29.72878,-93.87019000000001,283.08,4.6
29.758059999999997,-93.89,283.08,4.6
29.981109999999997,-93.87111,283.1,1.5
29.8667,-93.93111,283.15,4.6
27.62065,-82.65525,292.02,3.6
27.86287,-82.55373,292.51,3.6
27.66395,-82.59877,292.2,3.6
